Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bangladesh,BGD,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.293699577,0.26088946,0.331734253,0.495627888,0.381984016,0.567794752,0.713808944,2.487015356,1.776904918,0.680122599,0.749660503,0.548224345,0.868391022,0.650527812,0.533395204,0.319381428,0.579142781,0.48116444,0.484262614,0.44518234,0.537215496,0.527433774,0.516541063,0.42553274,0.401675343,0.455446463,0.442029851,0.385141772,0.365779885,0.445939093,0.59407768,0.640610376,0.756300879,0.744340063,0.760780389,0.97204139,1.330760407,1.195674929,1.121736569,1.169836819,1.131255835,1.627030488,1.597889172,1.168403922,1.118407145,0.934311292,0.601728069,0.576675407,0.60162958,0.453838329,,
Bulgaria,BGR,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,1.838577372,1.95906616,2.044342788,1.499467793,1.297548048,1.672601162,0.829577973,0.565332937,2.966481561,2.729523818,1.109793656,1.392373563,1.377583476,0.984143403,1.091764417,0.846591997,0.994637062,0.965822428,0.535806799,0.615690649,0.654792083,0.69352307,0.450963776,0.427908592,1.133048779,1.004785095,1.857385718,1.707307924,1.961671196,0.707920264,1.70442186,2.188475056,1.646026718,1.123562824,0.790282215,0.65940609,0.535016679,0.760250118,0.706368691,0.396919026,,
Bahrain,BHR,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,20.62528551,14.75018907,10.27937664,11.33011259,10.37508043,11.57455423,8.478674371,8.64494048,6.918222028,8.613200197,10.38858011,5.739632439,5.608592011,5.789031661,4.737402871,5.010058601,5.500037728,5.846623624,4.067419435,4.668186351,6.111296315,5.929657569,5.168031367,5.07861086,5.130365815,6.395300954,6.99357572,6.669282521,7.373061106,6.158985406,5.940849921,8.163854546,8.841223302,9.311952763,8.591922786,5.129701491,3.194381525,3.384925052,4.397892075,3.798819671,,
"Bahamas, The",BHS,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.906985202,0.847335719,0.893551077,0.847806842,0.747448128,0.444608755,0.270890814,0.293562659,0.296956269,0.200212489,0.226219082,0.187229092,0.185349293,0.140886369,0.114903866,0.040841526,0.040423691,0.043034982,0.066143799,0.058369889,0.117517923,0.098538602,0.084737846,0.106734839,0.082394945,0.093975507,0.08009688,0.040691346,0.0098206,0.008947106,0.006546234,0.006725527,0.008027619,0.007119133,0.006320852,0.006186466,0.007401859,0.007864169,0.008815082,0.008625399,0.015294778,0.013281663,0.012326209,0.014526055,0.017725215,0.014446952,0.01728157,0.017470648,0.013031992,0.011269859,,
Bosnia and Herzegovina,BIH,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24799193,0.847006032,0.090837586,1.908569428,1.545745646,1.359024402,1.266548528,1.315756389,0.880426512,0.832901264,1.63373174,1.831371296,1.643181084,2.122046419,3.649307483,1.472183903,2.745691524,3.581353026,2.260744613,1.782646423,1.239951392,1.013488849,1.061191162,1.273524233,1.16874725,0.989039913,,
Belarus,BLR,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.216085713,0.586622922,2.194701794,2.138340989,1.865167555,2.208505477,3.274117947,3.113096831,0.746897314,1.641158649,2.460386396,2.093694135,1.780470991,1.742518661,1.773911848,1.730667103,1.690162355,1.54934508,1.534738229,1.094860881,1.34016837,1.741291732,1.815881039,1.483204749,1.336655453,1.153056425,1.273324545,1.572906632,1.729885198,1.773031832,,
Belize,BLZ,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.993307334,0.890162687,0.817435115,1.321847133,0.992842713,1.217720709,1.13198493,1.061159345,1.12096925,1.557448552,1.318999148,1.098051542,1.724917667,0.983097545,0.660556481,0.56307571,0.458824723,0.76802523,0.666135185,0.650219922,0.763749696,0.72187098,0.63901383,0.585191138,0.52783167,0.64319951,0.544170729,0.526245259,0.439602356,0.37628936,0.275828784,0.27436816,0.285941253,0.276574824,0.244951285,0.287265144,3.246747386,4.211799311,6.196879621,3.723506026,5.353921435,6.94195996,4.836407683,3.55602683,2.647984167,1.208047792,1.048132666,1.345042056,1.719205388,1.522396279,,
Bermuda,BMU,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Bolivia,BOL,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,2.206173106,1.780478111,1.767910051,4.819816953,8.547054078,4.617908559,4.193910576,5.196809061,5.430877662,8.873376655,11.62533412,5.301383507,4.19051808,4.816618133,3.533125126,3.416420023,2.416568895,3.413872829,5.185448366,7.240361405,7.266619363,4.013881422,3.861799639,3.590511892,4.412119077,5.052149019,4.820284922,3.997494391,2.003854581,2.499289029,3.984881991,3.891080492,4.367620594,4.71937761,8.072952022,11.72050672,14.49402925,14.77217275,12.47739903,7.203985646,9.332978322,12.76699088,11.38811245,10.74531592,8.829187104,3.767257349,3.324658637,5.717104975,5.725014074,3.887905009,,
Brazil,BRA,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,1.640445588,1.407064495,1.396439352,1.497637657,1.92324584,2.118265281,1.951440831,1.78593312,1.704134087,2.335278162,2.811687009,2.398364381,2.617350266,3.33999038,3.248440251,3.10523622,1.938532383,2.182906941,1.864960257,1.89537948,2.284146965,1.343947583,2.064278315,1.765592666,1.296197337,1.135132638,1.156772016,1.033910351,0.949128313,1.716708964,2.185236632,2.219510189,2.797828223,2.799782987,2.674308584,3.783594439,3.891479242,4.112540315,4.755332288,2.37315714,3.658331699,4.259057115,3.81257935,3.787552705,3.2658568,2.386846557,2.421926728,2.858329731,3.808591626,3.465230555,,
